MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng;DeleteClient
25;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:49:10;1221;0
26;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:52:51;1221;0
27;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:03:21;1221;0
28;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:03:47;1221;0
29;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:05:25;1221;0
30;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:06:29;1221;0
31;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:06:59;1221;0
32;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:08:05;1221;0
33;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:12:47;1221;0
34;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:14:34;1221;0
35;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:17:12;1221;0
36;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:18:35;1221;0
37;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:21:29;1221;0
38;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:23:51;1221;0
39;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:24:35;1221;0
40;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:26:15;1221;0
41;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:29:05;1221;0
42;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:31:09;1221;0
43;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:33:04;1221;0
44;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:39:08;1221;0
45;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:43:00;1221;0
46;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:45:11;1221;0
47;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:46:23;1221;0
48;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:47:14;1221;0
49;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:52:13;1221;0
50;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:54:23;1221;0
51;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 22:56:11;1221;0
