MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng;DeleteClient
25;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:49:10;1221;0
1;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:05:21;1221;0
2;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:28:01;1221;0
3;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:30:28;1221;0
4;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:36:20;1221;0
5;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:37:35;1221;0
6;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:38:29;1221;0
7;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:50:04;1221;0
8;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:52:20;1221;0
9;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:53:21;1221;0
10;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:54:35;1221;0
11;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:55:27;1221;0
12;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:57:50;1221;0
13;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:58:22;1221;0
14;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 14:59:30;1221;0
15;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 15:00:19;1221;0
16;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 15:01:20;1221;0
17;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 15:01:55;1221;0
18;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 15:03:25;1221;0
19;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/29 15:07:13;1221;0
20;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:27:29;1221;0
21;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:28:20;1221;0
22;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:30:27;1221;0
23;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:34:36;1221;0
24;01/10/2018;Đợt bí tích Rửa tội ngày 01 tháng 10 năm 2018;Tao;0;ABCDE;2018/10/30 21:46:47;1221;0
